figure,ai,svg,tif,jpg,origin_project,program_panel_count
1,True,True,True,False,False,0
2,True,True,True,False,False,0
3,True,True,True,False,False,0
4,True,True,True,False,False,0
5,True,True,True,False,False,0
6,True,True,True,False,False,0
7,True,True,False,True,False,0
8,True,True,False,True,False,0
9,True,True,False,True,False,0
10,True,True,False,True,False,3
11,True,False,True,False,True,0
12,True,True,True,False,False,4
13,True,True,True,False,False,3
14,True,True,True,False,False,4
15,True,True,True,False,False,2
16,True,True,True,False,False,1
17,True,True,True,False,False,1
18,True,True,True,False,False,2
19,True,True,True,False,False,3
